Timestamp,Heart Rate(bpm)
Oct 1 2025 21:34:32.856,57
Oct 1 2025 21:34:34.862,57
Oct 1 2025 21:34:36.866,57
Oct 1 2025 21:34:38.604,57
Oct 1 2025 21:34:39.495,57
Oct 1 2025 21:34:40.476,57
Oct 1 2025 21:34:42.480,57
Oct 1 2025 21:34:44.485,57
Oct 1 2025 21:34:46.490,57
Oct 1 2025 21:34:48.495,57
Oct 1 2025 21:34:49.164,57
Oct 1 2025 21:34:50.99,57
Oct 1 2025 21:34:52.108,57
Oct 1 2025 21:34:53.931,57
Oct 1 2025 21:34:56.738,57
Oct 1 2025 21:34:57.718,57
Oct 1 2025 21:34:58.787,57
Oct 1 2025 21:35:0.525,57
Oct 1 2025 21:35:1.505,57
Oct 1 2025 21:35:2.486,57
Oct 1 2025 21:35:16.748,59
Oct 1 2025 21:35:18.617,59
Oct 1 2025 21:35:23.518,60
Oct 1 2025 21:35:24.498,59
Oct 1 2025 21:35:26.505,59
Oct 1 2025 21:35:29.224,59
Oct 1 2025 21:35:31.270,59
Oct 1 2025 21:35:32.72,62
Oct 1 2025 21:35:34.78,63
Oct 1 2025 21:35:35.60,63
Oct 1 2025 21:36:11.148,61
Oct 1 2025 21:36:11.950,61
Oct 1 2025 21:36:13.956,61
Oct 1 2025 21:36:14.846,62
Oct 1 2025 21:36:30.176,62
Oct 1 2025 21:36:31.198,62
Oct 1 2025 21:36:33.24,62
Oct 1 2025 21:36:35.29,62
Oct 1 2025 21:36:36.856,62
Oct 1 2025 21:36:37.880,62
Oct 1 2025 21:36:38.771,65
Oct 1 2025 21:36:39.662,66
Oct 1 2025 21:36:40.643,66
Oct 1 2025 21:36:46.256,66
Oct 1 2025 21:36:48.261,66
Oct 1 2025 21:36:49.107,61
Oct 1 2025 21:36:51.68,61
Oct 1 2025 21:37:18.826,60
Oct 1 2025 21:37:20.831,60
Oct 1 2025 21:37:23.504,60
Oct 1 2025 21:37:27.337,60
Oct 1 2025 21:37:29.163,62
Oct 1 2025 21:37:30.144,62
Oct 1 2025 21:37:31.169,62
Oct 1 2025 21:37:54.918,61
Oct 1 2025 21:38:1.557,61
Oct 1 2025 21:38:9.357,63
Oct 1 2025 21:38:13.142,63
Oct 1 2025 21:38:14.167,59
Oct 1 2025 21:38:15.997,59
Oct 1 2025 21:38:16.974,59
Oct 1 2025 21:38:17.999,59
Oct 1 2025 21:38:42.728,62
Oct 1 2025 21:38:43.708,62
Oct 1 2025 21:38:44.689,62
Oct 1 2025 21:38:45.671,61
Oct 1 2025 21:38:58.55,61
Oct 1 2025 21:38:58.948,61
Oct 1 2025 21:38:59.926,61
Oct 1 2025 21:39:0.995,61
Oct 1 2025 21:39:1.797,61
Oct 1 2025 21:39:4.738,60
Oct 1 2025 21:39:7.545,60
Oct 1 2025 21:39:14.183,60
Oct 1 2025 21:39:16.187,60
Oct 1 2025 21:39:17.79,60
Oct 1 2025 21:39:19.83,60
Oct 1 2025 21:39:20.955,60
Oct 1 2025 21:39:22.960,60
Oct 1 2025 21:39:23.718,61
Oct 1 2025 21:39:25.722,61
Oct 1 2025 21:39:27.594,61
Oct 1 2025 21:39:37.39,61
Oct 1 2025 21:39:52.410,63
Oct 1 2025 21:39:55.351,63
Oct 1 2025 21:40:12.547,60
Oct 1 2025 21:40:17.47,58
Oct 1 2025 21:40:18.27,58
Oct 1 2025 21:40:19.7,56
Oct 1 2025 21:40:19.987,57
Oct 1 2025 21:40:20.878,57
Oct 1 2025 21:40:25.736,57
Oct 1 2025 21:40:31.524,57
Oct 1 2025 21:40:33.529,57
Oct 1 2025 21:40:35.267,57
Oct 1 2025 21:40:36.247,57
Oct 1 2025 21:40:38.163,57
Oct 1 2025 21:40:39.54,57
Oct 1 2025 21:40:40.34,57
Oct 1 2025 21:40:50.414,56
Oct 1 2025 21:40:51.305,56
Oct 1 2025 21:40:53.221,59
Oct 1 2025 21:40:55.226,59
Oct 1 2025 21:40:59.102,61
Oct 1 2025 21:41:11.397,60
Oct 1 2025 21:41:13.268,57
Oct 1 2025 21:41:14.248,57
Oct 1 2025 21:41:16.252,57
Oct 1 2025 21:41:24.940,57
Oct 1 2025 21:41:25.920,57
Oct 1 2025 21:41:27.880,57
Oct 1 2025 21:41:29.885,57
Oct 1 2025 21:41:32.781,57
Oct 1 2025 21:41:33.672,57
Oct 1 2025 21:41:34.652,58
Oct 1 2025 21:41:36.656,58
Oct 1 2025 21:41:37.592,57
Oct 1 2025 21:41:38.572,57
Oct 1 2025 21:41:39.552,57
Oct 1 2025 21:41:41.512,57
Oct 1 2025 21:41:51.357,57
Oct 1 2025 21:41:53.228,58
Oct 1 2025 21:41:55.233,58
Oct 1 2025 21:41:57.238,58
Oct 1 2025 21:41:59.109,58
Oct 1 2025 21:42:0.89,58
