Timestamp,Heart Rate(bpm)
Mar 19 2025 13:41:36.732,56
Mar 19 2025 13:41:37.715,56
Mar 19 2025 13:41:39.724,56
Mar 19 2025 13:41:41.606,56
Mar 19 2025 13:41:42.589,56
Mar 19 2025 13:41:44.556,56
Mar 19 2025 13:41:46.523,56
Mar 19 2025 13:41:49.473,57
Mar 19 2025 13:41:52.424,57
Mar 19 2025 13:41:54.433,57
Mar 19 2025 13:41:56.357,57
Mar 19 2025 13:41:57.340,57
Mar 19 2025 13:41:58.366,58
Mar 19 2025 13:42:3.197,55
Mar 19 2025 13:42:6.105,55
Mar 19 2025 13:42:7.88,55
Mar 19 2025 13:42:8.71,55
Mar 19 2025 13:42:9.55,55
Mar 19 2025 13:42:10.979,56
Mar 19 2025 13:42:12.946,56
Mar 19 2025 13:42:13.929,56
Mar 19 2025 13:42:16.836,56
Mar 19 2025 13:42:18.802,57
Mar 19 2025 13:42:19.786,57
Mar 19 2025 13:42:21.752,57
Mar 19 2025 13:42:22.736,57
Mar 19 2025 13:42:23.719,57
Mar 19 2025 13:42:24.702,57
Mar 19 2025 13:42:26.669,56
Mar 19 2025 13:42:28.638,56
Mar 19 2025 13:42:32.569,56
Mar 19 2025 13:42:35.519,56
Mar 19 2025 13:42:37.528,56
Mar 19 2025 13:42:39.538,56
Mar 19 2025 13:42:40.435,56
Mar 19 2025 13:42:41.419,56
Mar 19 2025 13:42:42.402,57
Mar 19 2025 13:42:45.395,57
Mar 19 2025 13:42:46.293,57
Mar 19 2025 13:42:47.319,57
Mar 19 2025 13:42:54.886,57
Mar 19 2025 13:42:57.665,57
Mar 19 2025 13:42:58.648,57
Mar 19 2025 13:42:59.588,57
Mar 19 2025 13:43:1.515,57
Mar 19 2025 13:43:2.410,57
Mar 19 2025 13:43:4.377,57
Mar 19 2025 13:43:6.343,57
Mar 19 2025 13:43:8.224,57
Mar 19 2025 13:43:10.236,57
Mar 19 2025 13:43:12.114,57
Mar 19 2025 13:43:12.969,57
Mar 19 2025 13:43:13.952,57
Mar 19 2025 13:43:15.919,57
Mar 19 2025 13:43:16.816,57
Mar 19 2025 13:43:18.697,57
Mar 19 2025 13:43:19.723,57
Mar 19 2025 13:43:21.561,57
Mar 19 2025 13:43:23.485,57
Mar 19 2025 13:43:25.494,57
Mar 19 2025 13:43:26.394,57
Mar 19 2025 13:43:28.358,57
Mar 19 2025 13:43:29.256,56
Mar 19 2025 13:43:30.282,56
Mar 19 2025 13:43:31.137,56
Mar 19 2025 13:43:32.120,56
Mar 19 2025 13:43:33.60,56
Mar 19 2025 13:43:35.882,56
Mar 19 2025 13:43:37.848,56
Mar 19 2025 13:43:39.815,56
Mar 19 2025 13:43:40.798,56
Mar 19 2025 13:43:41.738,56
Mar 19 2025 13:43:42.635,56
Mar 19 2025 13:43:43.661,56
Mar 19 2025 13:43:45.500,56
Mar 19 2025 13:43:46.483,56
Mar 19 2025 13:43:47.380,56
Mar 19 2025 13:43:49.389,56
Mar 19 2025 13:43:51.228,55
Mar 19 2025 13:43:52.211,55
Mar 19 2025 13:43:54.220,55
Mar 19 2025 13:43:56.271,55
Mar 19 2025 13:43:58.281,55
Mar 19 2025 13:44:0.290,55
Mar 19 2025 13:44:2.299,55
Mar 19 2025 13:44:2.598,54
Mar 19 2025 13:44:4.607,54
Mar 19 2025 13:44:6.616,54
Mar 19 2025 13:44:7.471,54
Mar 19 2025 13:44:8.369,54
Mar 19 2025 13:44:10.377,54
Mar 19 2025 13:44:11.275,56
Mar 19 2025 13:44:12.258,56
Mar 19 2025 13:44:17.46,57
Mar 19 2025 13:44:19.55,57
