Timestamp,Heart Rate(bpm)
Aug 14 2025 13:02:39.3,53
Aug 14 2025 13:02:40.997,53
Aug 14 2025 13:02:41.994,54
Aug 14 2025 13:02:43.988,54
Aug 14 2025 13:02:45.982,54
Aug 14 2025 13:02:46.25,57
Aug 14 2025 13:02:46.896,55
Aug 14 2025 13:02:47.810,56
Aug 14 2025 13:02:48.849,56
Aug 14 2025 13:02:53.585,58
Aug 14 2025 13:02:55.496,60
Aug 14 2025 13:03:2.312,58
Aug 14 2025 13:03:4.220,57
Aug 14 2025 13:03:6.131,57
Aug 14 2025 13:03:7.86,57
Aug 14 2025 13:03:8.42,57
Aug 14 2025 13:03:9.39,55
Aug 14 2025 13:03:10.77,55
Aug 14 2025 13:03:10.991,55
Aug 14 2025 13:03:11.947,55
Aug 14 2025 13:03:12.944,54
Aug 14 2025 13:03:13.941,54
Aug 14 2025 13:03:14.938,54
Aug 14 2025 13:03:15.893,54
Aug 14 2025 13:03:16.807,54
Aug 14 2025 13:03:18.801,53
Aug 14 2025 13:03:20.795,53
Aug 14 2025 13:03:22.791,53
Aug 14 2025 13:03:24.533,53
Aug 14 2025 13:03:25.572,53
Aug 14 2025 13:03:26.527,53
Aug 14 2025 13:03:28.438,54
Aug 14 2025 13:03:29.352,54
Aug 14 2025 13:03:30.349,54
Aug 14 2025 13:03:32.260,54
Aug 14 2025 13:03:33.216,54
Aug 14 2025 13:03:34.171,54
Aug 14 2025 13:03:35.126,54
Aug 14 2025 13:03:36.124,54
Aug 14 2025 13:03:37.120,53
Aug 14 2025 13:03:39.114,53
Aug 14 2025 13:03:40.28,53
Aug 14 2025 13:03:42.22,53
Aug 14 2025 13:03:44.16,53
Aug 14 2025 13:03:46.10,53
Aug 14 2025 13:03:48.4,53
Aug 14 2025 13:03:49.998,53
Aug 14 2025 13:03:50.829,53
Aug 14 2025 13:03:52.823,55
Aug 14 2025 13:03:54.817,55
Aug 14 2025 13:03:55.814,56
Aug 14 2025 13:03:56.811,56
Aug 14 2025 13:03:57.808,56
Aug 14 2025 13:03:59.802,56
Aug 14 2025 13:04:1.796,56
Aug 14 2025 13:04:3.790,56
Aug 14 2025 13:04:5.784,56
Aug 14 2025 13:04:7.778,56
Aug 14 2025 13:04:8.775,56
Aug 14 2025 13:04:9.771,56
Aug 14 2025 13:04:11.724,56
Aug 14 2025 13:04:13.718,56
Aug 14 2025 13:04:15.670,55
Aug 14 2025 13:04:17.665,55
Aug 14 2025 13:04:19.659,55
Aug 14 2025 13:04:20.656,55
Aug 14 2025 13:04:22.650,55
Aug 14 2025 13:04:24.644,53
Aug 14 2025 13:04:25.641,53
Aug 14 2025 13:04:26.637,53
Aug 14 2025 13:04:28.631,53
Aug 14 2025 13:04:29.628,53
Aug 14 2025 13:04:31.622,53
Aug 14 2025 13:04:32.620,53
Aug 14 2025 13:04:34.613,53
Aug 14 2025 13:04:36.607,53
Aug 14 2025 13:04:37.604,53
Aug 14 2025 13:04:39.556,53
Aug 14 2025 13:04:41.550,53
Aug 14 2025 13:04:42.547,53
Aug 14 2025 13:04:43.544,55
Aug 14 2025 13:04:44.541,55
Aug 14 2025 13:04:46.535,55
Aug 14 2025 13:04:48.528,55
Aug 14 2025 13:04:49.525,55
Aug 14 2025 13:04:51.519,53
Aug 14 2025 13:04:52.516,53
Aug 14 2025 13:04:53.513,53
Aug 14 2025 13:04:55.507,53
Aug 14 2025 13:04:57.501,53
Aug 14 2025 13:04:59.495,53
Aug 14 2025 13:05:0.533,53
Aug 14 2025 13:05:1.447,53
Aug 14 2025 13:05:3.441,53
Aug 14 2025 13:05:5.435,53
Aug 14 2025 13:05:6.431,53
Aug 14 2025 13:05:7.428,55
Aug 14 2025 13:05:9.422,55
Aug 14 2025 13:05:11.416,55
Aug 14 2025 13:05:13.410,55
Aug 14 2025 13:05:15.403,55
Aug 14 2025 13:05:16.400,55
Aug 14 2025 13:05:18.394,55
Aug 14 2025 13:05:19.391,55
Aug 14 2025 13:05:21.385,55
Aug 14 2025 13:05:23.337,53
Aug 14 2025 13:05:24.334,53
Aug 14 2025 13:05:26.287,53
Aug 14 2025 13:05:28.281,53
Aug 14 2025 13:05:30.274,53
Aug 14 2025 13:05:31.271,53
Aug 14 2025 13:05:33.265,53
Aug 14 2025 13:05:34.262,53
Aug 14 2025 13:05:36.255,54
Aug 14 2025 13:05:38.250,54
Aug 14 2025 13:05:40.243,54
Aug 14 2025 13:05:42.237,54
Aug 14 2025 13:05:43.276,54
Aug 14 2025 13:05:45.270,54
Aug 14 2025 13:05:46.184,54
Aug 14 2025 13:05:47.139,54
Aug 14 2025 13:05:49.133,54
Aug 14 2025 13:05:51.128,53
Aug 14 2025 13:05:53.121,53
Aug 14 2025 13:05:54.118,53
Aug 14 2025 13:05:55.115,53
Aug 14 2025 13:05:57.68,54
Aug 14 2025 13:06:0.973,54
Aug 14 2025 13:06:4.795,54
Aug 14 2025 13:06:6.664,54
Aug 14 2025 13:06:18.421,54
Aug 14 2025 13:07:19.152,69
Aug 14 2025 13:07:20.190,71
Aug 14 2025 13:07:21.104,72
Aug 14 2025 13:07:22.102,73
Aug 14 2025 13:07:34.729,75
Aug 14 2025 13:07:35.685,73
Aug 14 2025 13:07:36.681,71
Aug 14 2025 13:07:37.720,71
Aug 14 2025 13:07:38.675,70
Aug 14 2025 13:07:39.631,70
Aug 14 2025 13:07:40.547,70
Aug 14 2025 13:07:47.357,71
Aug 14 2025 13:07:50.225,70
Aug 14 2025 13:07:51.219,68
Aug 14 2025 13:07:52.257,68
Aug 14 2025 13:07:53.171,66
Aug 14 2025 13:07:54.210,66
Aug 14 2025 13:07:57.76,65
Aug 14 2025 13:07:58.31,63
Aug 14 2025 13:08:0.855,62
Aug 14 2025 13:08:1.810,60
Aug 14 2025 13:08:2.765,60
Aug 14 2025 13:08:3.720,59
Aug 14 2025 13:08:5.714,58
Aug 14 2025 13:08:6.669,58
Aug 14 2025 13:08:7.625,59
Aug 14 2025 13:08:10.407,59
Aug 14 2025 13:08:12.401,59
Aug 14 2025 13:08:14.395,59
Aug 14 2025 13:08:16.264,58
Aug 14 2025 13:08:18.219,58
Aug 14 2025 13:08:19.257,58
Aug 14 2025 13:08:21.248,58
Aug 14 2025 13:08:23.241,58
Aug 14 2025 13:08:25.69,57
Aug 14 2025 13:08:26.979,57
Aug 14 2025 13:08:28.972,57
Aug 14 2025 13:08:29.928,57
Aug 14 2025 13:08:31.921,57
Aug 14 2025 13:08:32.918,55
Aug 14 2025 13:08:34.912,55
Aug 14 2025 13:08:35.909,55
Aug 14 2025 13:08:37.903,55
Aug 14 2025 13:08:38.899,55
Aug 14 2025 13:08:39.855,58
Aug 14 2025 13:08:41.849,58
Aug 14 2025 13:09:11.44,60
Aug 14 2025 13:09:11.999,60
Aug 14 2025 13:09:14.865,61
Aug 14 2025 13:09:17.689,61
Aug 14 2025 13:09:18.644,61
Aug 14 2025 13:09:19.682,63
Aug 14 2025 13:09:24.416,63
Aug 14 2025 13:09:28.278,63
Aug 14 2025 13:09:29.275,68
