Timestamp,Heart Rate (BPM)
2025-10-01 21:21:00,72.0625
2025-10-01 21:22:00,76.17391304347827
2025-10-01 21:23:00,72.35714285714286
2025-10-01 21:25:00,77.0
2025-10-01 21:26:00,72.0
2025-10-01 21:27:00,73.71428571428571
2025-10-01 21:31:00,73.11111111111111
2025-10-01 21:32:00,57.708333333333336
2025-10-01 21:33:00,59.47222222222222
2025-10-01 21:34:00,57.11764705882353
2025-10-01 21:35:00,59.46153846153846
2025-10-01 21:36:00,62.8235294117647
2025-10-01 21:37:00,60.875
2025-10-01 21:38:00,60.92857142857143
2025-10-01 21:39:00,60.75
2025-10-01 21:40:00,57.526315789473685
2025-10-01 21:41:00,57.42857142857143
2025-10-01 21:42:00,59.84375
2025-10-01 21:43:00,59.96296296296296
2025-10-01 21:44:00,60.63157894736842
2025-10-01 21:45:00,59.857142857142854
2025-10-01 21:46:00,59.095238095238095
2025-10-01 21:47:00,60.26923076923077
2025-10-01 21:48:00,58.875
2025-10-01 21:49:00,60.5
2025-10-01 21:50:00,59.083333333333336
2025-10-01 21:51:00,60.21875
2025-10-01 21:52:00,60.81818181818182
2025-10-01 21:53:00,61.875
2025-10-01 21:54:00,58.23076923076923
2025-10-01 21:55:00,57.63636363636363
2025-10-01 21:56:00,61.38461538461539
2025-10-01 21:57:00,58.76315789473684
2025-10-01 21:58:00,59.0
2025-10-01 21:59:00,60.333333333333336
