Timestamp,Heart Rate (BPM)
2025-10-01 21:10:00,90.0
2025-10-01 21:11:00,96.0
2025-10-01 21:15:00,101.0
2025-10-01 21:17:00,81.0
2025-10-01 21:21:00,82.5
2025-10-01 21:22:00,82.46153846153847
2025-10-01 21:23:00,76.76923076923077
2025-10-01 21:24:00,89.08333333333333
2025-10-01 21:25:00,90.27272727272727
2025-10-01 21:26:00,75.25
2025-10-01 21:27:00,74.58333333333333
2025-10-01 21:28:00,82.5
2025-10-01 21:29:00,92.88888888888889
2025-10-01 21:30:00,82.33333333333333
2025-10-01 21:31:00,88.08333333333333
2025-10-01 21:32:00,62.833333333333336
2025-10-01 21:33:00,62.38461538461539
2025-10-01 21:34:00,59.27272727272727
2025-10-01 21:35:00,59.15384615384615
2025-10-01 21:36:00,61.27272727272727
2025-10-01 21:37:00,62.666666666666664
2025-10-01 21:38:00,61.36363636363637
2025-10-01 21:39:00,64.58333333333333
2025-10-01 21:40:00,63.54545454545455
2025-10-01 21:41:00,61.25
2025-10-01 21:42:00,60.0
2025-10-01 21:43:00,61.75
2025-10-01 21:44:00,62.8
2025-10-01 21:45:00,62.083333333333336
2025-10-01 21:46:00,61.84615384615385
2025-10-01 21:47:00,64.27272727272727
2025-10-01 21:48:00,61.30769230769231
2025-10-01 21:49:00,60.90909090909091
2025-10-01 21:50:00,61.333333333333336
2025-10-01 21:51:00,62.5
2025-10-01 21:52:00,63.333333333333336
2025-10-01 21:53:00,63.333333333333336
2025-10-01 21:54:00,59.61538461538461
2025-10-01 21:55:00,60.27272727272727
2025-10-01 21:56:00,61.083333333333336
2025-10-01 21:57:00,60.333333333333336
2025-10-01 21:58:00,64.08333333333333
2025-10-01 21:59:00,70.84615384615384
2025-10-01 22:00:00,91.72727272727273
2025-10-01 22:01:00,92.15384615384616
2025-10-01 22:02:00,102.27272727272727
2025-10-01 22:05:00,67.0
2025-10-01 22:09:00,108.0
2025-10-01 22:16:00,97.0
2025-10-01 22:18:00,95.0
2025-10-01 22:24:00,65.58269309997559
2025-10-01 22:27:00,63.5
2025-10-01 22:34:00,60.0
2025-10-01 22:39:00,59.0
2025-10-01 22:41:00,58.0
2025-10-01 22:47:00,58.0
2025-10-01 22:51:00,57.0
2025-10-01 22:57:00,51.0
2025-10-01 22:58:00,52.0
2025-10-01 23:04:00,52.0
2025-10-01 23:08:00,52.0
2025-10-01 23:12:00,52.0
2025-10-01 23:16:00,52.0
